id_plantel,cantidad_jugadores
15722-2015/2016-8023,21
17642-2010/2011-9772,26
17642-2010/2011-10214,24
17642-2010/2011-9768,23
17642-2011/2012-10238,27
17642-2014/2015-7841,26
17642-2015/2016-7841,27
19694-2008/2009-9938,23
19694-2009/2010-9938,26
19694-2010/2011-8597,24
19694-2011/2012-8548,30
19694-2014/2015-9927,31
21518-2008/2009-10205,22
21518-2008/2009-9906,22
21518-2009/2010-9783,26
21518-2009/2010-9869,24
21518-2010/2011-9864,33
21518-2011/2012-10267,25
21518-2011/2012-7878,25
21518-2012/2013-8560,21
21518-2013/2014-10267,30
21518-2013/2014-8315,23
21518-2014/2015-8372,23
21518-2015/2016-8315,25
21518-2015/2016-8581,27
21518-2015/2016-7878,27
24558-2009/2010-7955,26
24558-2010/2011-10190,25
24558-2011/2012-10191,26
24558-2013/2014-9931,28
24558-2014/2015-10190,25
24558-2014/2015-9930,24
24558-2015/2016-9931,29
1-2008/2009-4049,16
1-2008/2009-9999,17
1-2009/2010-9986,20
1-2010/2011-9987,18
1-2010/2011-8571,21
1-2015/2016-9991,24
1-2015/2016-9997,30
1729-2008/2009-10194,27
1729-2008/2009-8586,26
1729-2009/2010-8191,22
1729-2009/2010-8528,25
1729-2009/2010-9879,25
1729-2010/2011-10194,21
1729-2010/2011-9825,25
1729-2011/2012-10003,22
1729-2012/2013-8455,23
1729-2012/2013-10003,23
1729-2012/2013-10260,24
1729-2013/2014-10260,29
1729-2014/2015-8586,25
1729-2014/2015-8668,27
1729-2014/2015-9825,25
1729-2014/2015-10261,25
1729-2014/2015-10260,27
1729-2015/2016-10261,28
1729-2015/2016-10260,26
1729-2015/2016-10194,23
4769-2008/2009-9831,21
4769-2009/2010-9874,24
4769-2009/2010-9855,28
4769-2010/2011-108893,28
4769-2010/2011-9873,23
4769-2010/2011-9829,29
15722-2011/2012-8673,15
15722-2011/2012-8025,17
15722-2012/2013-8020,19
15722-2013/2014-8028,28
15722-2015/2016-8673,26
17642-2012/2013-9768,29
17642-2014/2015-9772,25
17642-2015/2016-8348,27
19694-2011/2012-8467,23
19694-2015/2016-9927,25
21518-2008/2009-8315,25
21518-2010/2011-10267,25
21518-2010/2011-8560,22
21518-2012/2013-9864,28
24558-2009/2010-10179,28
24558-2009/2010-9930,23
24558-2009/2010-9956,26
24558-2015/2016-10243,29
1-2009/2010-9993,20
1-2009/2010-9987,24
